projected_points,confidence_lower,confidence_upper,confidence_level,player_id,player_name,position,team,week,season
25.91,7.53,44.29,0.95,00-0039075,Puka Nacua,WR,LA,5,2025
24.73,8.65,40.81,0.95,00-0036963,Amon-Ra St. Brown,WR,DET,5,2025
24.02,6.49,41.54,0.95,00-0033280,Christian McCaffrey,RB,SF,5,2025
23.71,9.56,37.85,0.95,00-0034796,Lamar Jackson,QB,BAL,5,2025
23.28,6.03,40.52,0.95,00-0034857,Josh Allen,QB,BUF,5,2025
23.06,5.93,40.2,0.95,00-0036223,Jonathan Taylor,RB,IND,5,2025
22.52,9.63,35.42,0.95,00-0037834,Brock Purdy,QB,SF,5,2025
21.71,6.93,36.48,0.95,00-0039851,Drake Maye,QB,NE,5,2025
21.68,6.35,37.01,0.95,00-0037248,James Cook,RB,BUF,5,2025
21.55,6.23,36.86,0.95,00-0036389,Jalen Hurts,QB,PHI,5,2025
21.38,10.93,31.83,0.95,00-0033873,Patrick Mahomes,QB,KC,5,2025
21.04,4.06,38.02,0.95,00-0033077,Dak Prescott,QB,DAL,5,2025
20.88,6.51,35.24,0.95,00-0038542,Bijan Robinson,RB,ATL,5,2025
20.57,3.33,37.81,0.95,00-0039910,Jayden Daniels,QB,WAS,5,2025
20.47,3.71,37.24,0.95,00-0039139,Jahmyr Gibbs,RB,DET,5,2025
20.09,6.73,33.45,0.95,00-0034855,Baker Mayfield,QB,TB,5,2025
20.06,7.17,32.94,0.95,00-0039732,Bo Nix,QB,DEN,5,2025
19.8,4.31,35.29,0.95,00-0039918,Caleb Williams,QB,CHI,5,2025
19.7,7.45,31.96,0.95,00-0036264,Jordan Love,QB,GB,5,2025
19.53,0.0,40.43,0.95,00-0036945,Justin Fields,QB,NYJ,5,2025
19.5,5.47,33.53,0.95,00-0033106,Jared Goff,QB,DET,5,2025
19.31,0.14,38.48,0.95,00-0036358,CeeDee Lamb,WR,DAL,5,2025
19.07,0.0,40.26,0.95,00-0039040,De'Von Achane,RB,MIA,5,2025
19.04,7.86,30.23,0.95,00-0026498,Matthew Stafford,QB,LA,5,2025
19.02,2.84,35.19,0.95,00-0037247,George Pickens,WR,DAL,5,2025
18.53,4.58,32.48,0.95,00-0039361,Bucky Irving,RB,TB,5,2025
18.48,4.83,32.12,0.95,00-0035700,Josh Jacobs,RB,GB,5,2025
18.32,4.66,31.97,0.95,00-0036355,Justin Herbert,QB,LAC,5,2025
18.18,2.85,33.52,0.95,00-0039919,Rome Odunze,WR,CHI,5,2025
17.86,1.63,34.1,0.95,00-0035710,Daniel Jones,QB,IND,5,2025
17.83,5.17,30.49,0.95,00-0036997,Javonte Williams,RB,DAL,5,2025
17.49,6.39,28.6,0.95,00-0035228,Kyler Murray,QB,ARI,5,2025
17.41,4.7,30.11,0.95,00-0037740,Garrett Wilson,WR,NYJ,5,2025
17.38,0.0,43.07,0.95,00-0036900,Ja'Marr Chase,WR,CIN,5,2025
17.32,0.0,40.79,0.95,00-0040666,Omarion Hampton,RB,LAC,5,2025
17.0,7.28,26.72,0.95,00-0040129,Emeka Egbuka,WR,TB,5,2025
16.78,4.42,29.13,0.95,00-0030565,Geno Smith,QB,LV,5,2025
16.77,2.9,30.63,0.95,00-0036972,Mac Jones,QB,SF,5,2025
16.61,5.42,27.79,0.95,00-0036212,Tua Tagovailoa,QB,MIA,5,2025
16.59,1.05,32.13,0.95,00-0038544,Quentin Johnston,WR,LAC,5,2025
16.5,0.0,35.78,0.95,00-0031381,Davante Adams,WR,LA,5,2025
16.47,1.97,30.97,0.95,00-0038543,Jaxon Smith-Njigba,WR,SEA,5,2025
16.13,0.0,32.59,0.95,00-0036322,Justin Jefferson,WR,MIN,5,2025
16.03,4.83,27.23,0.95,00-0040784,Quinshon Judkins,RB,CLE,5,2025
16.03,4.83,27.23,0.95,00-0040784,Quinshon Judkins,RB,CLE,5,2025
15.98,0.0,35.92,0.95,00-0034844,Saquon Barkley,RB,PHI,5,2025
15.9,0.0,33.2,0.95,00-0036554,Nico Collins,WR,HOU,5,2025
15.9,0.0,36.13,0.95,00-0030279,Keenan Allen,WR,LAC,5,2025
15.85,0.0,42.68,0.95,00-0040122,Ashton Jeanty,RB,LV,5,2025
15.76,2.41,29.11,0.95,00-0039163,C.J. Stroud,QB,HOU,5,2025
15.67,0.0,35.31,0.95,00-0034869,Sam Darnold,QB,SEA,5,2025
15.65,1.48,29.82,0.95,00-0036973,Travis Etienne,RB,JAX,5,2025
15.6,0.0,37.71,0.95,00-0032950,Carson Wentz,QB,MIN,5,2025
15.52,0.0,34.09,0.95,00-0039923,J.J. McCarthy,QB,MIN,5,2025
15.46,1.56,29.36,0.95,00-0038041,Jake Ferguson,TE,DAL,5,2025
15.38,3.02,27.74,0.95,00-0036971,Trevor Lawrence,QB,JAX,5,2025
15.32,0.0,34.56,0.95,00-0039337,Malik Nabers,WR,NYG,5,2025
15.14,0.0,33.78,0.95,00-0033040,Tyreek Hill,WR,MIA,5,2025
15.1,0.86,29.34,0.95,00-0038134,Kenneth Walker III,RB,SEA,5,2025
15.07,6.41,23.72,0.95,00-0039376,Spencer Rattler,QB,NO,5,2025
15.03,0.0,32.97,0.95,00-0040743,Tyler Shough,QB,NO,5,2025
14.99,0.16,29.82,0.95,00-0039150,Bryce Young,QB,CAR,5,2025
14.88,1.49,28.28,0.95,00-0034348,Courtland Sutton,WR,DEN,5,2025
14.84,1.36,28.31,0.95,00-0035640,DK Metcalf,WR,PIT,5,2025
14.77,1.87,27.67,0.95,00-0029263,Russell Wilson,QB,NYG,5,2025
14.7,1.25,28.16,0.95,00-0023459,Aaron Rodgers,QB,PIT,5,2025
14.69,0.4,28.97,0.95,00-0037840,Kyren Williams,RB,LA,5,2025
14.67,0.0,32.59,0.95,00-0035719,Deebo Samuel Sr.,WR,WAS,5,2025
14.65,0.0,31.82,0.95,00-0040715,Cam Skattebo,RB,NYG,5,2025
14.44,1.86,27.01,0.95,00-0036252,Michael Pittman,WR,IND,5,2025
14.24,0.0,35.26,0.95,00-0032268,Marcus Mariota,QB,WAS,5,2025
14.21,0.0,30.66,0.95,00-0037238,Drake London,WR,ATL,5,2025
14.16,0.0,30.26,0.95,00-0038563,Tre Tucker,WR,LV,5,2025
14.11,1.12,27.1,0.95,00-0035685,David Montgomery,RB,DET,5,2025
14.1,3.11,25.09,0.95,00-0036158,J.K. Dobbins,RB,DEN,5,2025
13.92,4.22,23.62,0.95,00-0037228,Jaylen Warren,RB,PIT,5,2025
13.69,1.79,25.58,0.95,00-0031610,Darren Waller,TE,MIA,5,2025
13.67,0.07,27.27,0.95,00-0037816,Romeo Doubs,WR,GB,5,2025
13.54,1.0,26.08,0.95,00-0036275,D'Andre Swift,RB,CHI,5,2025
13.41,0.0,27.53,0.95,00-0037744,Trey McBride,TE,ARI,5,2025
13.29,0.0,32.41,0.95,00-0035100,Jake Browning,QB,CIN,5,2025
13.26,0.0,30.98,0.95,00-0039894,Xavier Worthy,WR,KC,5,2025
13.26,0.0,27.63,0.95,00-0036555,Chuba Hubbard,RB,CAR,5,2025
13.17,0.0,28.39,0.95,00-0033906,Alvin Kamara,RB,NO,5,2025
13.0,0.62,25.38,0.95,00-0034351,Dallas Goedert,TE,PHI,5,2025
12.98,2.96,22.99,0.95,00-0036919,Kenneth Gainwell,RB,PIT,5,2025
12.9,0.0,27.41,0.95,00-0039064,Zay Flowers,WR,BAL,5,2025
12.82,0.0,28.5,0.95,00-0028118,Tyrod Taylor,QB,NYJ,5,2025
12.79,0.0,26.43,0.95,00-0033090,Hunter Henry,TE,NE,5,2025
12.72,3.16,22.28,0.95,00-0040128,Tyler Warren,TE,IND,5,2025
12.7,0.42,24.98,0.95,00-0037239,Chris Olave,WR,NO,5,2025
12.69,0.0,26.5,0.95,00-0033921,Chris Godwin Jr.,WR,TB,5,2025
12.66,0.0,30.09,0.95,00-0031408,Mike Evans,WR,TB,5,2025
12.64,0.0,27.88,0.95,00-0033288,George Kittle,TE,SF,5,2025
12.56,0.0,30.49,0.95,00-0032436,Jeff Driskel,QB,LV,5,2025
12.48,0.0,25.56,0.95,00-0036613,Jaylen Waddle,WR,MIA,5,2025
12.47,0.0,30.56,0.95,00-0036442,Joe Burrow,QB,CIN,5,2025
12.44,0.0,31.73,0.95,00-0039917,Michael Penix Jr.,QB,ATL,5,2025
12.19,0.0,25.03,0.95,00-0039032,Tyjae Spears,RB,TEN,5,2025
12.01,0.0,29.06,0.95,00-0039916,Ricky Pearsall,WR,SF,5,2025
11.97,0.0,23.97,0.95,00-0038996,Tucker Kraft,TE,GB,5,2025
11.92,0.0,27.0,0.95,00-0033553,James Conner,RB,ARI,5,2025
11.87,0.0,30.17,0.95,00-0038120,Breece Hall,RB,NYJ,5,2025
11.82,0.0,25.22,0.95,00-0026158,Joe Flacco,QB,CLE,5,2025
11.71,0.0,29.73,0.95,00-0038994,Jordan Addison,WR,MIN,5,2025
11.7,0.0,24.25,0.95,00-0034975,Justice Hill,RB,BAL,5,2025
11.62,0.0,26.65,0.95,00-0039146,Jayden Reed,WR,GB,5,2025
11.53,0.16,22.89,0.95,00-0038117,Wan'Dale Robinson,WR,NYG,5,2025
11.52,0.0,25.67,0.95,00-0037525,Jordan Mason,RB,MIN,5,2025
11.47,0.71,22.22,0.95,00-0035261,Tony Pollard,RB,TEN,5,2025
11.46,0.0,25.51,0.95,00-0034753,Mark Andrews,TE,BAL,5,2025
11.45,0.0,26.13,0.95,00-0036912,DeVonta Smith,WR,PHI,5,2025
11.44,0.0,30.64,0.95,00-0033357,Taysom Hill,QB,NO,5,2025
11.41,0.0,23.98,0.95,00-0034960,Jakobi Meyers,WR,LV,5,2025
11.4,4.64,18.17,0.95,00-0040124,Tetairoa McMillan,WR,CAR,5,2025
11.37,0.0,29.16,0.95,00-0035676,A.J. Brown,WR,PHI,5,2025
11.33,0.0,29.36,0.95,00-0034827,DJ Moore,WR,CHI,5,2025
11.31,0.0,26.32,0.95,00-0039849,Marvin Harrison Jr.,WR,ARI,5,2025
11.3,0.0,35.53,0.95,00-0040583,Woody Marks,RB,HOU,5,2025
11.29,1.55,21.02,0.95,00-0038933,Dalton Kincaid,TE,BUF,5,2025
11.27,0.0,23.12,0.95,00-0037261,Khalil Shakir,WR,BUF,5,2025
11.27,0.0,28.54,0.95,00-0032764,Derrick Henry,RB,BAL,5,2025
11.24,0.0,33.56,0.95,00-0031503,Jameis Winston,QB,NYG,5,2025
11.2,0.0,25.61,0.95,00-0038440,Zavier Scott,RB,MIN,5,2025
11.0,0.0,25.5,0.95,00-0031588,Stefon Diggs,WR,NE,5,2025
10.92,0.0,23.07,0.95,00-0035282,Easton Stick,QB,ATL,5,2025
10.75,0.0,25.38,0.95,00-0039338,Brock Bowers,TE,LV,5,2025
10.71,0.0,24.83,0.95,00-0037545,Rashid Shaheed,WR,NO,5,2025
10.71,0.21,21.21,0.95,00-0036040,Juwan Johnson,TE,NO,5,2025
10.68,0.0,21.75,0.95,00-0031280,Derek Carr,QB,NO,5,2025
10.65,0.0,24.33,0.95,00-0036875,Rhamondre Stevenson,RB,NE,5,2025
10.64,0.0,22.15,0.95,00-0040170,Elic Ayomanor,WR,TEN,5,2025
10.62,0.0,21.61,0.95,00-0036970,Kyle Pitts,TE,ATL,5,2025
10.6,1.2,19.99,0.95,00-0038104,Tyquan Thornton,WR,KC,5,2025
10.55,0.0,22.33,0.95,00-0032104,Ameer Abdullah,RB,IND,5,2025
10.55,0.0,21.98,0.95,00-0035662,Marquise Brown,WR,KC,5,2025
10.51,0.0,26.04,0.95,00-0039893,Brian Thomas Jr.,WR,JAX,5,2025
10.42,0.0,25.78,0.95,00-0030506,Travis Kelce,TE,KC,5,2025
10.32,0.0,27.96,0.95,00-0039164,Anthony Richardson,QB,IND,5,2025
10.24,0.0,21.23,0.95,00-0039868,Troy Franklin,WR,DEN,5,2025
10.09,0.0,22.42,0.95,00-0038400,Tanner McKee,QB,PHI,5,2025
10.07,0.0,25.26,0.95,00-0033897,Joe Mixon,RB,HOU,5,2025
10.06,0.0,24.3,0.95,00-0037240,Jameson Williams,WR,DET,5,2025
10.0,0.0,22.97,0.95,00-0038579,Aidan O'Connell,QB,LV,5,2025
9.98,0.0,23.59,0.95,00-0033293,Aaron Jones,RB,MIN,5,2025
9.95,0.0,21.62,0.95,00-0030061,Zach Ertz,TE,WAS,5,2025
9.87,0.0,24.06,0.95,00-0039067,Rashee Rice,WR,KC,5,2025
9.82,1.13,18.5,0.95,00-0040676,Cam Ward,QB,TEN,5,2025
9.8,0.0,27.07,0.95,00-0033949,Joshua Dobbs,QB,NE,5,2025
9.68,0.0,23.22,0.95,00-0035659,Terry McLaurin,WR,WAS,5,2025
9.58,0.0,19.37,0.95,00-0034791,Nick Chubb,RB,HOU,5,2025
9.58,0.0,27.21,0.95,00-0033908,Cooper Kupp,WR,SEA,5,2025
9.34,0.0,28.25,0.95,00-0036259,Jauan Jennings,WR,SF,5,2025
9.34,0.0,23.66,0.95,00-0035993,Tyler Huntley,QB,BAL,5,2025
9.3,0.0,29.65,0.95,00-0035704,Drew Lock,QB,SEA,5,2025
9.24,0.0,25.66,0.95,00-0039915,Ladd McConkey,WR,LAC,5,2025
9.19,0.0,29.62,0.95,00-0036410,Tee Higgins,WR,CIN,5,2025
9.13,0.0,22.57,0.95,00-0037256,Rachaad White,RB,TB,5,2025
9.1,0.0,22.41,0.95,00-0035229,T.J. Hockenson,TE,MIN,5,2025
9.1,0.0,23.79,0.95,00-0040730,RJ Harvey,RB,DEN,5,2025
9.09,0.0,25.41,0.95,00-0038597,Chase Brown,RB,CIN,5,2025
9.07,0.0,23.62,0.95,00-0038976,Marvin Mims Jr.,WR,DEN,5,2025
9.06,3.12,15.0,0.95,00-0040734,TreVeyon Henderson,RB,NE,5,2025
8.94,0.0,24.83,0.95,00-0039855,Jalen McMillan,WR,TB,5,2025
8.67,0.0,21.26,0.95,00-0039065,Sam LaPorta,TE,DET,5,2025
8.5,0.0,35.66,0.95,00-0039398,Joe Milton III,QB,DAL,5,2025
8.49,0.0,21.69,0.95,00-0037664,Alec Pierce,WR,IND,5,2025
8.47,0.0,18.87,0.95,00-0036626,Dyami Brown,WR,JAX,5,2025
8.44,0.0,25.17,0.95,00-0029604,Kirk Cousins,QB,ATL,5,2025
8.39,0.0,17.49,0.95,00-0037801,KaVontae Turpin,WR,DAL,5,2025
8.34,0.0,18.37,0.95,00-0038935,Brenton Strange,TE,JAX,5,2025
8.25,0.0,18.75,0.95,00-0037263,Tyler Allgeier,RB,ATL,5,2025
8.19,0.0,22.83,0.95,00-0039165,Zach Charbonnet,RB,SEA,5,2025
8.18,0.0,20.57,0.95,00-0039901,Keon Coleman,WR,BUF,5,2025
8.18,0.0,19.76,0.95,00-0037112,Jake Tonges,TE,SF,5,2025
8.17,0.46,15.88,0.95,00-0039921,Trey Benson,RB,ARI,5,2025
8.16,0.0,22.44,0.95,00-0035289,Gardner Minshew,QB,KC,5,2025
8.15,0.0,22.63,0.95,00-0037197,Isiah Pacheco,RB,KC,5,2025
8.11,0.0,24.51,0.95,00-0037077,Sam Howell,QB,PHI,5,2025
8.11,0.0,22.39,0.95,00-0036407,Jerry Jeudy,WR,CLE,5,2025
8.09,0.0,22.06,0.95,00-0033885,David Njoku,TE,CLE,5,2025
8.09,0.34,15.84,0.95,00-0035644,Noah Fant,TE,CIN,5,2025
7.96,0.0,20.25,0.95,00-0038997,Josh Downs,WR,IND,5,2025
7.93,0.0,20.37,0.95,00-0040719,Bhayshul Tuten,RB,JAX,5,2025
7.92,0.0,18.61,0.95,00-0034983,Hunter Renfrow,WR,CAR,5,2025
7.89,0.0,20.2,0.95,00-0033699,Austin Ekeler,RB,WAS,5,2025
7.84,7.84,7.84,0.95,00-0038488,Brady Russell,RB,SEA,5,2025
7.84,0.0,23.42,0.95,00-0037563,Malik Davis,RB,DAL,5,2025
7.84,7.84,7.84,0.95,00-0036950,Avery Williams,RB,PHI,5,2025
7.84,0.0,23.42,0.95,00-0040649,Robbie Ouzts,RB,SEA,5,2025
7.84,0.0,23.42,0.95,00-0039230,Dante Miller,RB,NYG,5,2025
7.84,0.0,23.42,0.95,00-0039385,Keilan Robinson,RB,NYJ,5,2025
7.84,0.0,23.42,0.95,00-0040476,Ulysses Bentley IV,RB,IND,5,2025
